title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Star Wars: Episode VIII - The Last Jedi,"$620,181,382","$1,332,539,889",Walt Disney Studios Motion Pictures,"$220,009,584","4,232","$317,000,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi",382
The Fate of the Furious,"$226,008,385","$1,236,005,118",Universal Pictures,"$98,786,705","4,310","$250,000,000",PG-13,"Action,Adventure,Thriller",262
Wonder Woman,"$412,563,408","$821,847,012",Warner Bros.,"$103,251,471","4,165","$149,000,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi,War",217
Guardians of the Galaxy Vol. 2,"$389,813,101","$863,756,051",Walt Disney Studios Motion Pictures,"$146,510,104","4,347","$200,000,000",PG-13,"Action,Adventure,Comedy,Sci-Fi",241
Beauty and the Beast,"$504,014,165","$1,263,521,126",Walt Disney Studios Motion Pictures,"$174,750,616","4,210","$160,000,000",PG,"Family,Fantasy,Musical,Romance",290
It,"$327,481,748","$700,381,748",Warner Bros.,"$123,403,419","4,103","$35,000,000",R,Horror,119
Spider-Man: Homecoming,"$334,201,140","$880,166,924",Sony Pictures Releasing,"$117,027,503","4,348","$175,000,000",PG-13,"Action,Adventure,Sci-Fi",182
Thor: Ragnarok,"$315,058,289","$853,977,126",Walt Disney Studios Motion Pictures,"$122,744,989","4,080","$180,000,000",PG-13,"Action,Adventure,Comedy,Fantasy,Sci-Fi",424
Logan,"$226,277,068","$619,021,436",Twentieth Century Fox,"$88,411,916","4,071","$97,000,000",R,"Action,Drama,Sci-Fi,Thriller",304
Despicable Me 3,"$264,624,300","$1,034,799,409",Universal Pictures,"$72,434,025","4,529","$80,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi",189
Girls Trip,"$115,171,585","$140,552,359",Universal Pictures,"$31,201,920","2,591","$19,000,000",R,"Adventure,Comedy,Drama",164
Rogue One: A Star Wars Story,"$532,177,324","$1,056,057,273",Walt Disney Studios Motion Pictures,"$155,081,681","4,157","$200,000,000",PG-13,"Action,Adventure,Sci-Fi",381
Sing,"$270,395,425","$634,151,679",Universal Pictures,"$35,258,145","4,022","$75,000,000",PG,"Animation,Comedy,Family,Musical",376
La La Land,"$151,101,803","$446,171,671",Lionsgate,"$881,104",5,"$30,000,000",PG-13,"Comedy,Drama,Music,Musical,Romance",388
Night School,"$77,339,130","$103,105,878",Universal Pictures,"$27,257,615","3,010","$29,000,000",PG-13,Comedy,460
Kingsman: The Golden Circle,"$100,234,838","$410,902,662",Twentieth Century Fox,"$39,023,010","4,003","$104,000,000",R,"Action,Adventure,Comedy",466
Blood Feast,"$8,708","$8,708",Hannover House,"$4,046",1,"$1,200,000",R,Horror,270
Just Getting Started,"$6,069,605","$7,634,022",Broad Green Pictures,"$3,201,459","2,161","$22,000,000",PG-13,"Action,Comedy",389
Mamma Mia!,"$39,601","$55,168",Fathom Events,"$23,376",243,"$52,000,000",PG-13,"Comedy,Musical,Romance",61
"Roman J. Israel, Esq.","$11,962,778","$13,025,860",Sony Pictures Releasing,"$61,999",4,"$22,000,000",PG-13,"Crime,Drama,Thriller",410
Halloween,"$159,342,015","$255,485,178",Universal Pictures,"$76,221,545","3,928","$10,000,000",R,"Horror,Thriller",439
Geostorm,"$33,700,160","$221,600,160",Warner Bros.,"$13,707,376","3,246","$120,000,000",PG-13,"Action,Sci-Fi,Thriller",438
Sleepless in Seattle,"$127,281","$127,281",Fathom Events,"$73,560",419,"$21,000,000",PG,"Comedy,Drama,Romance",33
Only the Brave,"$18,343,983","$26,351,322",Sony Pictures Releasing,"$6,002,665","2,577","$38,000,000",PG-13,"Action,Biography,Drama",438
The House with a Clock in Its Walls,"$68,549,695","$131,457,147",Universal Pictures,"$26,608,020","3,592","$42,000,000",PG,"Comedy,Family,Fantasy,Horror,Sci-Fi",467
First Man,"$44,936,545","$105,697,415",Universal Pictures,"$16,006,065","3,640","$59,000,000",PG-13,"Biography,Drama,History",446
A Bad Moms Christmas,"$72,110,659","$130,560,428",STX Entertainment,"$16,759,161","3,615","$28,000,000",R,Comedy,426
Superman,"$233,585","$233,585",Fathom Events,"$102,223",394,"$55,000,000",PG,"Action,Adventure,Drama,Sci-Fi",40
Get Out,"$176,040,665","$255,407,969",Universal Pictures,"$33,377,060","2,781","$4,500,000",R,"Horror,Mystery,Thriller",676
Jurassic Park,"$374,238","$374,238",Fathom Events,"$213,743",532,"$63,000,000",PG-13,"Action,Adventure,Sci-Fi,Thriller",107
Batman Forever,"$38,014","$38,387",Fathom Events,"$38,014",434,"$100,000,000",PG-13,"Action,Adventure,Fantasy",275
Blade Runner 2049,"$92,054,159","$259,239,658",Warner Bros.,"$32,753,122","4,058","$150,000,000",R,"Action,Drama,Mystery,Sci-Fi,Thriller",452
The Star,"$43,510","$43,510",Sony Pictures Releasing,"$43,510",623,"$20,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",66
The Hate U Give,"$29,719,483","$34,934,009",Twentieth Century Fox,"$512,035",36,"$23,000,000",PG-13,"Crime,Drama",453
Marshall,"$10,051,659","$10,116,816",Open Road Films (II),"$3,000,805",821,"$12,000,000",PG-13,"Biography,Crime,Drama,History",445
The Magnificent Seven,"$93,432,655","$162,360,636",Sony Pictures Releasing,"$34,703,397","3,674","$90,000,000",PG-13,"Action,Adventure,Western",465
Schindler's List,"$833,050","$937,140",Universal Pictures,"$566,760","1,029","$22,000,000",R,"Biography,Drama,History",28
